レース数, 予想順位,実際の順位,単勝,複勝,2連単,2連複,拡連複,3連単,3連複
1912258,1-2-3,1-2-4,20,0,50,90,20,-100,-100
1912245,1-2-3,1-4-3,30,0,-100,-100,-100,-100,-100
1912303,1-2-4,1-4-6,20,20,-100,-100,-100,-100,-100
1912301,1-2-3,3-1-4,-100,20,-100,-100,-100,-100,-100
1912164,1-2-3,3-1-2,-100,10,-100,-100,50,-100,220
19122612,1-2-3,1-2-3,30,0,230,210,100,700,310
1912111,1-2-3,1-2-3,50,0,230,180,110,730,230
1912199,1-2-3,1-2-3,20,0,140,20,10,350,120
1912261,2-1-3,3-4-5,-100,-100,-100,-100,-100,-100,-100
19123012,1-2-3,1-6-5,20,50,-100,-100,-100,-100,-100
1912083,1-2-3,3-5-1,-100,-100,-100,-100,-100,-100,-100
19120912,1-2-3,1-2-4,10,0,150,170,40,-100,-100
19122912,1-2-3,1-2-5,40,10,130,130,30,-100,-100
19122312,1-2-3,1-4-3,40,20,-100,-100,-100,-100,-100
1912129,1-2-3,1-3-2,10,0,-100,-100,40,-100,230
1912015,1-2-3,1-6-5,50,10,-100,-100,-100,-100,-100
19123111,1-2-3,1-6-4,40,10,-100,-100,-100,-100,-100
1912203,1-3-2,1-2-3,10,20,-100,-100,20,-100,180
1912167,1-2-3,1-6-3,50,20,-100,-100,-100,-100,-100
1912311,1-2-3,1-2-5,0,0,190,140,20,-100,-100
1912231,1-2-3,5-1-3,-100,60,-100,-100,-100,-100,-100
1912106,1-2-3,1-5-4,120,140,-100,-100,-100,-100,-100
1912251,1-2-3,2-1-4,-100,20,-100,30,40,-100,-100
1912306,1-2-3,1-4-2,90,120,-100,-100,30,-100,-100
1912202,1-2-3,1-2-3,90,0,310,140,40,680,200
19121811,1-2-3,1-2-4,10,0,210,50,10,-100,-100
1912098,1-2-3,1-2-3,20,20,140,110,10,700,320
19121912,1-2-3,4-1-5,-100,30,-100,-100,-100,-100,-100
1912127,1-2-3,1-3-5,0,0,-100,-100,-100,-100,-100
19122412,1-2-3,1-5-4,30,0,-100,-100,-100,-100,-100
1912102,1-2-3,5-6-2,-100,-100,-100,-100,-100,-100,-100
1912259,1-2-4,1-4-3,10,10,-100,-100,-100,-100,-100
1912234,1-2-3,1-6-4,130,0,-100,-100,-100,-100,-100
1912315,1-2-3,1-4-2,30,30,-100,-100,30,-100,-100
1912079,1-2-3,1-2-5,0,0,190,100,50,-100,-100
1912096,1-2-3,1-3-2,10,20,-100,-100,30,-100,380
1912204,1-2-3,2-4-3,-100,-100,-100,-100,-100,-100,-100
1912309,1-2-3,6-1-4,-100,0,-100,-100,-100,-100,-100
1912116,1-2-4,1-3-2,190,0,-100,-100,70,-100,-100
1912178,1-2-3,1-4-2,50,0,-100,-100,50,-100,-100
1912174,1-2-3,1-6-2,30,0,-100,-100,60,-100,-100
1912121,1-2-3,1-2-3,10,10,160,130,30,590,210
1912095,1-3-2,1-5-3,10,20,-100,-100,60,-100,-100
1912117,1-2-3,1-3-4,0,0,-100,-100,-100,-100,-100
1912209,1-2-3,1-2-5,0,0,140,100,20,-100,-100
1912075,1-2-3,3-4-6,-100,-100,-100,-100,-100,-100,-100
19122410,1-2-3,3-1-2,-100,0,-100,-100,60,-100,110
1912018,1-2-3,1-4-3,10,0,-100,-100,-100,-100,-100
1912072,1-2-3,1-3-4,30,0,-100,-100,-100,-100,-100
1912029,1-2-3,1-4-3,10,0,-100,-100,-100,-100,-100
1912084,1-2-3,1-6-3,60,110,-100,-100,-100,-100,-100
1912103,1-2-3,6-4-2,-100,-100,-100,-100,-100,-100,-100
19121611,1-3-2,1-4-5,0,0,-100,-100,-100,-100,-100
19122311,1-2-3,1-4-6,10,10,-100,-100,-100,-100,-100
19122310,1-2-3,1-3-2,60,20,-100,-100,50,-100,160
1912195,1-2-4,1-2-3,0,0,130,100,50,-100,-100
1912169,1-2-3,1-5-4,20,0,-100,-100,-100,-100,-100
19121812,1-2-3,1-5-3,10,0,-100,-100,-100,-100,-100
1912012,1-2-3,1-2-6,0,0,490,130,210,-100,-100
1912314,2-1-3,1-5-2,-100,-100,-100,-100,50,-100,-100
1912071,1-2-3,1-5-3,10,0,-100,-100,-100,-100,-100
1912257,1-2-3,1-2-6,70,0,80,30,10,-100,-100
19122012,1-2-3,4-2-5,-100,-100,-100,-100,-100,-100,-100
1912263,1-2-3,1-5-2,200,0,-100,-100,40,-100,-100
19122510,1-2-3,1-3-5,0,0,-100,-100,-100,-100,-100
1912028,1-2-3,5-1-4,-100,0,-100,-100,-100,-100,-100
1912297,1-2-4,1-4-6,0,40,-100,-100,-100,-100,-100
1912291,1-2-3,1-3-6,70,0,-100,-100,-100,-100,-100
1912273,1-2-3,4-1-6,-100,90,-100,-100,-100,-100,-100
1912104,1-2-3,1-3-2,40,0,-100,-100,50,-100,170
1912105,1-2-3,1-4-5,40,20,-100,-100,-100,-100,-100
1912252,1-2-3,3-2-6,-100,-100,-100,-100,-100,-100,-100
1912168,2-1-3,2-1-4,20,0,230,20,20,-100,-100
19122911,1-2-3,1-3-2,0,0,-100,-100,30,-100,90
19121012,1-2-3,1-5-4,0,20,-100,-100,-100,-100,-100
1912025,1-2-3,1-3-5,0,10,-100,-100,-100,-100,-100
19120112,1-2-3,1-5-3,20,0,-100,-100,-100,-100,-100
1912024,1-2-3,2-5-3,-100,-100,-100,-100,-100,-100,-100
19121712,2-1-3,3-1-2,-100,-100,-100,-100,30,-100,440
1912232,1-2-3,1-5-3,40,10,-100,-100,-100,-100,-100
1912081,1-2-3,1-3-2,10,0,-100,-100,80,-100,350
19122512,1-2-3,2-1-4,-100,50,-100,110,0,-100,-100
1912125,1-2-3,1-6-2,20,30,-100,-100,90,-100,-100
1912243,1-2-3,1-2-5,170,10,330,160,90,-100,-100
1912022,1-2-3,2-1-3,-100,0,-100,60,60,-100,120
1912163,1-2-3,1-3-5,110,30,-100,-100,-100,-100,-100
1912318,1-2-3,3-2-1,-100,-100,-100,-100,90,-100,290
1912185,1-2-3,1-3-4,30,10,-100,-100,-100,-100,-100
1912109,1-2-3,1-3-2,20,0,-100,-100,50,-100,280
19121112,1-2-3,1-3-4,20,0,-100,-100,-100,-100,-100
19121612,1-2-3,1-5-4,10,50,-100,-100,-100,-100,-100
1912126,1-2-3,2-1-6,-100,0,-100,150,60,-100,-100
19120911,1-2-3,1-6-2,40,40,-100,-100,80,-100,-100
1912085,1-2-3,1-2-3,50,90,240,180,60,830,230
1912237,1-2-4,2-1-5,-100,0,-100,70,30,-100,-100
1912183,1-2-3,2-5-3,-100,-100,-100,-100,-100,-100,-100
19121211,1-2-3,1-2-3,10,0,250,270,100,1040,440
1912097,2-1-3,5-1-2,-100,-100,-100,-100,90,-100,-100
1912114,1-2-3,1-2-4,30,0,100,60,20,-100,-100
19121711,1-2-3,1-5-3,10,0,-100,-100,-100,-100,-100
1912246,1-2-3,1-2-3,40,0,430,190,130,1740,710
1912107,1-2-3,1-5-6,10,0,-100,-100,-100,-100,-100
1912262,1-2-3,1-2-4,150,220,270,200,110,-100,-100
1912086,2-1-3,1-4-5,-100,-100,-100,-100,-100,-100,-100
1912023,1-2-3,1-3-2,10,0,-100,-100,10,-100,120
1912236,1-2-3,1-5-3,10,30,-100,-100,-100,-100,-100
19121010,1-2-3,1-5-6,30,10,-100,-100,-100,-100,-100
1912176,1-2-3,1-4-5,50,0,-100,-100,-100,-100,-100
19120111,1-2-4,1-4-2,50,60,-100,-100,10,-100,300
1912082,1-2-3,1-3-2,10,0,-100,-100,170,-100,400
1912316,1-2-3,3-1-2,-100,0,-100,-100,60,-100,430
1912317,1-2-3,2-5-1,-100,-100,-100,-100,50,-100,-100
1912196,1-2-3,1-5-3,30,0,-100,-100,-100,-100,-100
1912208,1-2-3,2-1-3,-100,0,-100,150,90,-100,310
1912094,1-2-3,1-2-5,80,70,470,370,140,-100,-100
1912173,1-2-3,3-2-6,-100,-100,-100,-100,-100,-100,-100
1912115,1-2-4,1-4-2,10,30,-100,-100,20,-100,170
1912254,1-2-3,1-6-4,20,10,-100,-100,-100,-100,-100
1912267,1-2-3,1-2-3,0,10,300,240,120,1120,400
19120211,1-2-3,2-1-3,-100,0,-100,160,50,-100,200
19120812,1-2-3,1-4-3,20,20,-100,-100,-100,-100,-100
1912189,1-2-3,1-2-3,0,0,240,140,60,720,380
19120811,1-2-3,1-2-6,0,0,120,90,90,-100,-100
1912296,1-2-3,5-2-1,-100,-100,-100,-100,20,-100,-100
1912295,1-2-3,4-1-2,-100,0,-100,-100,60,-100,-100
1912123,1-2-3,1-2-5,20,0,220,160,50,-100,-100
19121710,1-2-3,1-2-6,40,0,90,60,10,-100,-100
19121110,1-2-3,1-4-2,0,0,-100,-100,30,-100,-100
1912298,1-2-3,1-3-2,70,0,-100,-100,70,-100,290
1912265,1-2-3,1-3-2,30,0,-100,-100,20,-100,220
1912277,1-2-3,5-3-4,-100,-100,-100,-100,-100,-100,-100
1912256,1-2-3,1-3-4,10,0,-100,-100,-100,-100,-100
1912014,1-2-3,1-3-2,30,0,-100,-100,20,-100,160
19120110,1-2-3,2-4-1,-100,-100,-100,-100,40,-100,-100
19121810,1-2-3,1-3-6,10,10,-100,-100,-100,-100,-100
1912294,1-2-3,4-1-3,-100,110,-100,-100,-100,-100,-100
1912242,1-2-3,6-4-2,-100,-100,-100,-100,-100,-100,-100
1912175,1-2-3,1-3-2,40,0,-100,-100,40,-100,140
1912093,1-2-3,1-3-2,160,40,-100,-100,70,-100,360
19122010,1-2-3,1-4-3,10,0,-100,-100,-100,-100,-100
19122712,1-2-3,5-1-3,-100,0,-100,-100,-100,-100,-100
1912206,1-2-3,1-5-2,50,0,-100,-100,70,-100,-100
1912269,1-2-3,1-4-2,10,190,-100,-100,40,-100,-100
19122610,1-2-3,2-1-4,-100,0,-100,60,10,-100,-100
1912192,1-2-3,1-3-5,30,30,-100,-100,-100,-100,-100
1912181,1-2-3,2-4-1,-100,-100,-100,-100,50,-100,-100
1912293,1-2-3,1-3-4,170,20,-100,-100,-100,-100,-100
1912313,2-1-3,1-2-6,-100,110,-100,110,10,-100,-100
19122411,1-2-3,1-2-4,60,10,140,70,20,-100,-100
19120910,1-2-3,4-1-5,-100,0,-100,-100,-100,-100,-100
1912253,2-1-3,1-4-2,-100,-100,-100,-100,50,-100,-100
1912101,1-2-3,1-5-4,10,0,-100,-100,-100,-100,-100
1912074,1-2-3,4-1-6,-100,10,-100,-100,-100,-100,-100
1912092,1-2-3,1-5-3,50,10,-100,-100,-100,-100,-100
1912013,1-2-3,1-4-3,20,0,-100,-100,-100,-100,-100
1912187,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
1912304,2-1-3,1-2-3,-100,0,-100,50,40,-100,320
1912113,1-2-3,2-1-4,-100,0,-100,180,20,-100,-100
19121210,1-2-3,1-3-4,20,0,-100,-100,-100,-100,-100
1912193,1-2-3,1-2-4,60,10,330,260,50,-100,-100
1912089,1-2-3,1-2-3,30,0,170,70,20,570,200
1912279,1-2-3,1-3-6,60,20,-100,-100,-100,-100,-100
19123011,1-2-3,2-3-1,-100,-100,-100,-100,80,-100,570
1912021,1-2-3,1-2-4,50,0,80,60,80,-100,-100
1912188,1-2-3,1-3-5,30,0,-100,-100,-100,-100,-100
1912272,1-2-3,1-2-4,120,10,210,70,30,-100,-100
1912275,1-2-4,4-5-1,-100,-100,-100,-100,-100,-100,-100
1912308,1-2-3,1-2-4,0,90,170,130,70,-100,-100
1912264,1-2-3,1-4-6,0,0,-100,-100,-100,-100,-100
1912191,1-2-3,2-4-1,-100,-100,-100,-100,40,-100,-100
1912292,1-2-3,2-1-6,-100,10,-100,150,150,-100,-100
19121910,1-2-3,4-2-1,-100,-100,-100,-100,10,-100,-100
19123010,1-2-3,1-5-2,60,40,-100,-100,110,-100,-100
1912017,1-2-3,1-4-3,20,0,-100,-100,-100,-100,-100
1912179,1-2-3,2-5-3,-100,-100,-100,-100,-100,-100,-100
19122011,1-2-3,1-2-6,0,0,140,160,20,-100,-100
1912112,2-1-3,1-2-4,-100,40,-100,110,20,-100,-100
1912238,1-2-3,1-3-2,80,20,-100,-100,110,-100,540
1912076,1-2-3,2-1-6,-100,40,-100,130,40,-100,-100
1912177,1-2-3,1-2-4,30,70,810,700,120,-100,-100
19122611,2-1-3,1-3-2,-100,-100,-100,-100,40,-100,220
1912078,1-2-3,1-4-2,20,20,-100,-100,110,-100,-100
1912307,1-2-4,1-5-2,0,0,-100,-100,20,-100,-100
1912198,1-2-3,1-3-5,0,0,-100,-100,-100,-100,-100
1912276,1-2-3,1-3-4,10,0,-100,-100,-100,-100,-100
1912108,1-2-4,1-4-2,60,0,-100,-100,40,-100,140
19120711,1-2-4,1-2-3,10,0,230,250,60,-100,-100
19120212,1-2-3,6-2-5,-100,-100,-100,-100,-100,-100,-100
19123110,1-2-3,2-5-1,-100,-100,-100,-100,10,-100,-100
1912122,2-1-3,1-2-3,-100,0,-100,100,10,-100,140
1912249,1-2-3,1-3-5,10,0,-100,-100,-100,-100,-100
1912124,1-2-3,1-6-2,20,0,-100,-100,80,-100,-100
1912186,1-2-3,2-6-1,-100,-100,-100,-100,30,-100,-100
1912205,1-2-3,1-3-4,60,30,-100,-100,-100,-100,-100
1912239,1-2-3,1-2-3,100,10,540,590,50,1540,290
19122511,1-2-4,4-5-1,-100,-100,-100,-100,-100,-100,-100
1912011,1-2-3,1-2-6,20,0,190,220,20,-100,-100
1912172,1-2-3,1-3-6,20,20,-100,-100,-100,-100,-100
1912299,1-2-3,1-6-3,70,0,-100,-100,-100,-100,-100
19123112,1-2-3,1-2-3,30,0,60,50,10,370,190
19121011,1-2-4,3-1-2,-100,0,-100,-100,10,-100,-100
1912197,1-2-3,2-1-3,-100,0,-100,170,40,-100,790
1912319,1-2-3,1-2-3,10,0,220,130,40,610,170
1912088,1-2-3,3-4-1,-100,-100,-100,-100,-100,-100,-100
19122711,1-2-3,1-2-6,20,0,110,70,50,-100,-100
1912165,1-2-3,3-1-4,-100,0,-100,-100,-100,-100,-100
1912162,1-2-3,1-3-2,60,30,-100,-100,100,-100,1160
1912194,1-2-3,1-3-5,30,50,-100,-100,-100,-100,-100
1912244,1-2-3,1-5-2,30,100,-100,-100,110,-100,-100
1912247,1-2-3,1-4-3,100,60,-100,-100,-100,-100,-100
1912248,1-3-2,3-1-4,-100,10,-100,400,60,-100,-100
1912087,1-2-3,1-6-5,10,0,-100,-100,-100,-100,-100
1912077,1-2-3,1-2-6,80,0,320,210,50,-100,-100
1912128,1-2-3,1-2-4,0,0,240,220,30,-100,-100
19120210,1-2-3,3-1-2,-100,0,-100,-100,20,-100,100
1912171,1-2-3,1-3-2,50,40,-100,-100,60,-100,230
1912019,2-1-3,1-2-5,-100,0,-100,60,30,-100,-100
1912255,1-2-3,1-2-3,30,0,90,20,0,430,160
19121610,1-2-3,3-1-2,-100,0,-100,-100,60,-100,310
1912235,1-2-3,1-2-3,0,0,550,320,130,920,330
1912027,1-2-3,1-5-6,10,0,-100,-100,-100,-100,-100
1912274,1-2-3,1-4-3,80,0,-100,-100,-100,-100,-100
1912099,1-2-4,1-3-2,30,30,-100,-100,10,-100,-100
1912118,1-2-3,6-5-4,-100,-100,-100,-100,-100,-100,-100
1912305,2-1-3,1-2-4,-100,50,-100,100,50,-100,-100
1912161,1-2-3,2-4-6,-100,-100,-100,-100,-100,-100,-100
1912271,1-2-3,6-4-2,-100,-100,-100,-100,-100,-100,-100
1912233,1-2-4,5-6-3,-100,-100,-100,-100,-100,-100,-100
1912091,1-2-3,2-1-6,-100,0,-100,110,60,-100,-100
1912073,1-2-3,3-2-4,-100,-100,-100,-100,-100,-100,-100
1912166,1-2-3,3-5-1,-100,-100,-100,-100,-100,-100,-100
1912201,1-2-3,1-3-4,30,40,-100,-100,-100,-100,-100
1912266,1-2-3,1-3-6,0,0,-100,-100,-100,-100,-100
19121212,1-2-3,1-6-2,10,20,-100,-100,30,-100,-100
1912026,1-2-3,1-3-5,30,10,-100,-100,-100,-100,-100
19121111,1-2-3,1-3-6,0,0,-100,-100,-100,-100,-100
1912182,1-2-3,1-2-4,70,10,270,500,210,-100,-100
1912278,1-2-3,5-1-4,-100,30,-100,-100,-100,-100,-100
19122710,1-2-3,1-2-3,100,0,220,110,60,700,220
19120710,1-2-3,1-2-3,20,20,290,190,40,820,190
1912302,1-2-3,5-4-2,-100,-100,-100,-100,-100,-100,-100
19122910,1-2-3,1-3-2,10,0,-100,-100,30,-100,260
1912016,1-2-3,1-6-5,10,10,-100,-100,-100,-100,-100
1912119,1-2-3,2-4-5,-100,-100,-100,-100,-100,-100,-100
1912241,1-2-3,2-6-4,-100,-100,-100,-100,-100,-100,-100
1912312,1-2-3,1-5-4,0,0,-100,-100,-100,-100,-100
19120712,1-2-3,1-3-2,0,0,-100,-100,40,-100,210
19120810,1-2-3,1-3-4,0,20,-100,-100,-100,-100,-100
1912268,1-2-3,1-3-2,0,0,-100,-100,30,-100,190
1912184,1-2-3,2-1-3,-100,40,-100,470,100,-100,370
19121911,1-2-3,1-3-4,30,0,-100,-100,-100,-100,-100
1912207,1-2-3,1-6-5,40,0,-100,-100,-100,-100,-100
総レース数, 単勝, 複勝, 2連単, 2連複, 拡連複, 3連単, 3連複, 合計
252,-2660,-1090,-8560,-6800,-4400,-8140,-2330,-33980
